loan_id,age,income,employment_years,credit_score,loan_amount,loan_term_months,interest_rate,debt_to_income,home_ownership,loan_purpose,previous_defaults,loan_status
L000492,52,61042,12,666,7079,12,13.65,0.24,Own,Home,0,0
L000109,30,57875,27,754,48286,24,4.16,0.29,Rent,Personal,1,1
L000585,53,17830,7,612,31045,24,10.7,0.26,Own,Auto,0,0
L000105,51,91405,9,341,33029,60,14.09,0.69,Rent,Education,1,1
L000960,56,76582,32,479,10125,12,17.81,0.61,Rent,Auto,2,0
L000180,66,72719,11,384,37073,60,7.38,0.58,Rent,Education,2,1
L000953,49,42298,9,563,21561,24,5.74,0.69,Rent,Business,0,1
L000647,32,55074,20,831,32826,12,4.41,0.07,Own,Education,1,1
L000575,36,117723,17,802,36165,60,5.79,0.68,Own,Home,0,1
L000163,66,102157,16,308,41922,60,11.01,0.72,Rent,Auto,2,1
L000523,30,99950,39,470,13475,36,4.7,0.21,Rent,Auto,1,0
L000661,33,99288,39,647,11845,60,9.24,0.52,Mortgage,Personal,0,1
L000106,57,33137,10,445,13686,24,9.67,0.24,Mortgage,Auto,0,1
L000417,31,110243,30,346,46916,36,3.9,0.75,Rent,Home,1,0
L000469,49,53107,21,371,17997,60,8.61,0.07,Mortgage,Home,2,0
L000992,42,108450,24,583,4359,60,6.62,0.4,Mortgage,Home,0,0
L000275,23,117870,1,495,12042,36,13.43,0.7,Rent,Home,0,1
L000733,23,42839,8,799,14367,12,4.65,0.48,Mortgage,Education,1,0
L000035,30,123144,23,588,32008,24,9.1,0.41,Own,Personal,0,0
L000930,68,117789,33,438,5043,24,3.67,0.41,Rent,Auto,1,1
L000774,70,142371,31,416,36319,12,15.0,0.1,Rent,Auto,2,1
L000412,66,88467,5,793,33301,60,5.45,0.52,Own,Education,1,1
L000728,38,146501,24,339,38613,24,9.28,0.53,Mortgage,Auto,0,1
L000316,46,131452,15,699,44534,12,12.66,0.38,Rent,Business,2,1
L000681,22,42307,25,486,20890,12,8.82,0.73,Mortgage,Auto,2,1
L000178,21,41099,22,463,35106,12,5.05,0.5,Mortgage,Business,0,0
L000291,27,78910,30,454,11728,24,3.85,0.38,Own,Auto,0,1
L000619,61,121709,5,598,2586,12,4.02,0.07,Rent,Home,0,0
L000807,34,138062,37,302,2359,12,9.2,0.38,Own,Personal,0,1
L000356,64,30469,27,670,31409,60,10.67,0.67,Own,Education,2,1
L000460,55,141850,9,372,43926,36,4.76,0.26,Own,Home,0,0
L000571,58,93224,38,339,34538,60,12.69,0.31,Own,Business,1,1
L000126,34,33634,25,362,18519,24,17.68,0.37,Own,Business,0,1
L000873,52,81391,35,738,4515,12,12.74,0.31,Rent,Business,0,0
L000890,66,68762,21,765,38736,12,4.79,0.79,Mortgage,Home,0,1
L000998,21,18354,36,523,3423,12,14.59,0.33,Own,Business,2,1
L000172,68,44016,40,703,47085,60,17.57,0.77,Own,Education,1,0
L000529,41,71586,9,650,21072,24,10.29,0.31,Mortgage,Auto,2,1
L000822,50,144537,35,761,20549,12,14.3,0.43,Rent,Personal,1,1
L000113,27,126527,18,554,5971,12,6.36,0.78,Rent,Home,0,1
L000688,59,148050,13,797,13670,60,14.3,0.26,Own,Home,2,1
L000568,44,71274,26,554,10901,24,5.88,0.57,Mortgage,Home,2,1
L000082,22,55227,17,385,17691,12,13.79,0.4,Rent,Personal,0,1
L000764,69,78826,29,363,26338,60,10.83,0.18,Mortgage,Auto,2,0
L000812,43,107601,14,397,19623,24,3.45,0.35,Own,Home,1,1
L000981,57,80711,26,442,39430,12,15.02,0.49,Mortgage,Education,2,0
L000042,70,121346,12,570,13831,24,15.39,0.53,Own,Personal,0,0
L000251,31,48966,9,382,44571,24,8.21,0.38,Rent,Education,0,1
L000305,69,117071,39,765,23246,24,17.43,0.46,Rent,Business,0,0
L000390,70,25321,36,473,14681,60,8.67,0.11,Rent,Personal,2,1
L000127,23,145523,39,690,15551,36,14.16,0.05,Mortgage,Auto,0,0
L000444,58,99381,16,300,48650,12,5.12,0.44,Own,Home,0,1
L000462,57,56749,38,753,41347,36,10.98,0.66,Own,Education,1,1
L000310,40,34791,5,457,12109,24,3.17,0.3,Mortgage,Business,0,1
L000797,52,34115,35,775,19058,36,16.31,0.44,Mortgage,Personal,2,0
L000975,51,21653,9,832,3783,12,7.01,0.26,Own,Business,1,1
L000184,44,45856,25,778,2648,36,9.08,0.68,Rent,Auto,0,1
L000295,32,102485,25,439,11466,12,10.85,0.69,Own,Home,0,1
L000609,39,16572,24,506,10643,60,10.38,0.61,Own,Auto,0,0
L000197,46,86665,5,378,23450,12,3.4,0.24,Own,Education,1,1
L000974,58,39870,37,715,13010,36,16.56,0.29,Mortgage,Business,2,0
L000902,55,136750,0,838,27596,12,6.07,0.79,Mortgage,Auto,1,1
L000818,43,124299,1,806,43143,24,6.64,0.57,Own,Home,0,1
L000867,66,72523,18,747,40229,60,3.37,0.74,Mortgage,Personal,0,1
L000877,52,43662,34,696,4235,12,6.09,0.59,Rent,Home,0,0
L000319,45,98064,17,481,6279,12,15.34,0.66,Mortgage,Business,1,0
L000802,23,18153,22,495,28081,36,8.19,0.78,Mortgage,Personal,0,1
L000062,49,100375,37,533,43996,12,10.17,0.07,Own,Business,1,0
L000679,49,59607,21,413,14061,36,15.13,0.62,Rent,Auto,0,0
L000809,21,70794,35,443,33607,36,12.8,0.7,Mortgage,Auto,0,0
L000474,68,95237,37,520,3373,60,17.75,0.13,Rent,Personal,0,0
L000160,68,24072,20,731,42214,24,9.95,0.12,Mortgage,Personal,2,1
L000507,68,19754,26,695,35516,36,16.64,0.2,Own,Personal,1,0
L000576,44,36371,20,378,45637,60,15.54,0.34,Rent,Auto,0,0
L000254,53,115148,36,779,43520,36,13.11,0.5,Rent,Auto,1,1
L000907,23,62873,0,641,32535,12,14.27,0.16,Rent,Education,1,1
L000971,52,146759,5,331,5849,12,13.33,0.51,Rent,Personal,0,1
L000657,21,67913,29,757,31563,24,12.0,0.32,Mortgage,Business,1,1
L000407,66,122722,13,392,33043,12,15.96,0.14,Mortgage,Education,0,0
L000835,54,58819,4,669,5134,60,3.49,0.45,Own,Personal,0,0
L000879,57,65715,24,378,25189,24,5.6,0.42,Rent,Auto,0,0
L000263,40,57497,24,563,6766,24,14.5,0.46,Own,Education,0,1
L000824,28,87675,25,756,41738,36,12.1,0.79,Mortgage,Business,0,1
L000742,31,113563,0,347,25703,60,15.16,0.35,Mortgage,Business,0,1
L000196,48,61987,38,427,32766,36,14.35,0.57,Mortgage,Home,1,1
L000552,43,18283,20,602,17121,12,5.95,0.3,Mortgage,Home,2,1
L000574,25,37972,2,393,9820,24,8.85,0.24,Mortgage,Business,1,1
L000422,37,104225,20,689,43038,60,9.84,0.65,Rent,Auto,0,1
L000600,24,77956,5,849,43864,60,8.76,0.31,Mortgage,Home,1,0
L000948,45,19181,8,845,19674,36,9.34,0.61,Mortgage,Home,0,0
L000389,24,121478,28,572,17963,12,5.08,0.44,Mortgage,Education,1,1
L000207,38,147923,20,615,3046,12,9.64,0.18,Rent,Business,0,0
L000323,66,64082,28,618,15930,60,17.16,0.21,Rent,Personal,2,1
L000243,28,136344,9,588,14513,60,7.45,0.64,Rent,Personal,2,1
L000578,48,126201,14,710,23251,60,6.14,0.38,Mortgage,Business,1,1
L000188,52,63814,6,716,48680,36,11.57,0.27,Mortgage,Auto,0,0
L000651,48,66339,22,478,22411,24,15.84,0.22,Mortgage,Business,0,1
L000075,33,39566,33,432,20755,36,14.1,0.77,Rent,Personal,0,1
L000791,31,141805,19,625,1971,60,14.91,0.31,Own,Auto,0,0
L000533,43,82337,28,405,4965,60,9.53,0.66,Rent,Education,0,0
L000838,50,112252,29,677,44197,12,12.66,0.22,Own,Personal,2,1
L000686,43,145296,22,403,13630,24,11.37,0.39,Own,Home,0,0
L000787,41,90071,32,344,33689,24,13.73,0.09,Rent,Personal,0,1
L000689,57,37818,13,527,11936,36,15.05,0.79,Rent,Education,2,1
L000872,45,112815,34,770,44122,36,17.97,0.4,Mortgage,Home,1,0
L000698,41,124928,33,702,1034,12,3.6,0.17,Rent,Personal,0,0
L000084,66,90431,25,420,2902,60,13.95,0.2,Own,Auto,0,1
L000177,55,113381,7,684,36972,60,14.47,0.2,Mortgage,Auto,0,0
L000762,31,108655,17,656,2450,36,8.75,0.53,Rent,Business,1,0
L000696,31,22909,17,631,49510,60,3.18,0.22,Mortgage,Auto,1,0
L000539,57,24871,7,390,23362,12,16.98,0.31,Own,Auto,0,0
L000775,23,78369,17,661,45444,12,11.65,0.61,Own,Education,0,0
L000343,43,148600,2,370,35499,36,4.75,0.07,Own,Education,1,1
L000402,31,137289,7,636,29890,60,3.4,0.11,Own,Business,0,0
L000439,39,103808,19,845,25688,60,3.54,0.42,Rent,Personal,2,1
L000718,37,88088,4,793,19468,60,15.71,0.42,Mortgage,Business,0,0
L000531,38,20552,23,638,9689,12,13.65,0.78,Rent,Education,0,0
L000798,27,148419,1,574,33768,60,15.59,0.14,Rent,Education,0,0
L000853,38,80950,27,584,25982,60,15.49,0.15,Rent,Personal,1,1
L000565,31,72053,15,539,44174,24,6.26,0.16,Mortgage,Auto,2,1
L000677,32,66811,29,320,39409,36,12.09,0.09,Own,Home,1,1
L000799,33,75329,15,383,36232,12,7.24,0.57,Mortgage,Business,0,0
L000750,59,34185,15,672,28947,60,8.81,0.73,Own,Home,0,1
L000206,47,139538,21,593,2967,36,13.49,0.72,Rent,Personal,0,1
L000713,64,38706,12,629,36809,12,13.67,0.18,Mortgage,Auto,2,1
L000387,23,42220,11,548,41565,36,10.92,0.15,Own,Auto,1,0
L000284,47,40735,30,732,25296,12,10.26,0.14,Rent,Auto,0,0
L000052,63,15108,22,583,21898,36,4.27,0.43,Own,Auto,2,1
L000610,64,132573,20,400,26167,60,17.58,0.47,Own,Home,2,1
L000886,58,51069,30,563,13464,60,9.18,0.24,Mortgage,Education,1,1
L000726,68,50684,31,744,7008,60,5.95,0.4,Mortgage,Business,0,0
L000213,55,107436,39,790,41177,36,6.06,0.37,Own,Auto,0,0
L000638,68,148460,20,607,39570,36,12.15,0.43,Rent,Business,1,0
L000355,39,106450,30,613,47424,60,16.06,0.79,Rent,Education,1,0
L000892,37,19337,17,376,37547,24,16.22,0.74,Own,Education,1,0
L000882,57,144751,9,782,5283,12,16.49,0.78,Mortgage,Business,1,1
L000385,38,137681,35,818,19345,36,17.52,0.35,Mortgage,Home,2,0
L000111,61,21480,0,645,2747,24,3.3,0.12,Rent,Business,0,0
L000897,24,79563,28,319,15523,12,9.82,0.68,Own,Personal,0,1
L000401,49,125352,9,363,36805,60,3.87,0.12,Own,Education,1,0
L000061,68,113669,37,653,43524,12,11.33,0.8,Rent,Education,0,0
L000360,43,80526,16,305,48371,24,7.47,0.32,Mortgage,Auto,1,1
L000285,68,41372,11,495,39544,24,17.58,0.75,Own,Business,0,1
L000702,24,136771,35,356,38421,60,11.1,0.62,Rent,Auto,1,1
L000482,62,49886,24,647,19341,60,14.66,0.18,Rent,Home,1,0
L000508,39,50818,12,660,43228,60,12.8,0.52,Rent,Auto,0,1
L000865,53,130090,16,621,45749,36,13.67,0.57,Rent,Education,2,1
L000928,25,25218,15,446,43310,36,10.19,0.42,Rent,Personal,1,1
L000372,66,118847,19,564,46214,36,7.36,0.46,Mortgage,Home,0,1
L000837,26,54485,17,818,24132,24,8.77,0.5,Rent,Business,0,0
L000756,21,53742,36,693,41136,12,9.08,0.71,Rent,Business,1,0
L000817,37,59181,14,674,32082,60,7.14,0.35,Mortgage,Personal,1,0
L000136,52,137217,14,850,15767,24,7.81,0.61,Rent,Auto,1,1
L000935,50,90978,33,469,38306,60,16.63,0.57,Rent,Auto,1,1
L000261,54,80709,5,321,32014,12,17.24,0.67,Own,Home,2,1
L000642,36,18118,3,748,17918,60,4.16,0.08,Mortgage,Education,0,0
L000123,68,63487,14,698,3033,24,4.19,0.11,Rent,Personal,1,0
L000932,59,105643,11,739,11725,24,14.36,0.25,Own,Home,2,0
L000214,29,131577,10,440,42145,36,12.7,0.43,Own,Personal,2,1
L000259,21,109671,26,622,30984,60,5.73,0.32,Mortgage,Business,0,0
L000314,69,141729,22,436,44650,12,4.94,0.62,Mortgage,Auto,0,0
L000760,55,116491,26,771,27199,36,6.24,0.27,Own,Personal,0,0
L000810,38,135736,0,560,20678,36,5.91,0.62,Own,Education,1,0
L000547,25,122556,4,344,47231,60,17.45,0.23,Rent,Personal,0,1
L000968,57,109108,33,558,42901,24,17.34,0.77,Own,Business,2,1
L000022,47,41470,34,823,21640,36,12.44,0.2,Mortgage,Education,2,1
L000784,65,74216,15,676,35109,36,11.55,0.51,Own,Personal,1,1
L000504,66,50556,24,764,3013,12,6.55,0.72,Own,Personal,0,1
L000749,40,128222,38,676,13427,36,5.55,0.54,Mortgage,Business,1,0
L000940,67,118505,10,622,43620,36,11.12,0.38,Mortgage,Education,0,0
L000168,26,48653,31,396,30436,12,6.9,0.33,Own,Auto,0,1
L000876,53,75782,33,509,21712,60,15.56,0.58,Rent,Auto,2,1
L000546,37,141069,6,520,48249,60,15.13,0.28,Own,Auto,0,1
L000966,58,114909,27,326,27318,36,13.95,0.76,Own,Home,2,0
L000239,26,55431,10,667,31019,24,15.62,0.7,Mortgage,Business,0,1
L000517,52,142521,27,688,47049,24,8.76,0.6,Rent,Business,0,1
L000478,23,112333,26,375,22711,12,13.9,0.09,Own,Home,1,1
L000260,24,55107,20,521,18739,24,10.82,0.66,Mortgage,Personal,1,1
L000102,51,133416,37,645,3639,24,14.06,0.36,Own,Education,0,0
L000538,21,112416,16,400,27726,36,11.21,0.52,Rent,Home,2,1
L000191,63,136912,36,797,31504,12,9.91,0.69,Mortgage,Education,1,0
L000655,59,80061,39,352,24677,60,6.31,0.48,Mortgage,Auto,2,1
L000599,34,106930,10,631,1636,24,5.09,0.15,Rent,Business,0,0
L000796,23,73685,30,738,17277,24,13.61,0.66,Own,Auto,1,0
L000002,31,148113,14,411,21845,12,8.58,0.25,Mortgage,Personal,2,1
L000050,25,108669,6,506,4287,24,10.95,0.69,Rent,Education,1,0
L000891,50,106609,0,527,44019,12,13.31,0.08,Own,Auto,0,0
L000522,22,88030,15,385,6779,36,7.35,0.63,Mortgage,Auto,0,0
L000541,57,61475,19,460,31348,60,3.73,0.46,Mortgage,Business,1,1
L000226,67,86405,20,310,4227,60,17.95,0.78,Rent,Business,2,1
L000048,52,73946,16,795,45842,36,6.25,0.38,Mortgage,Personal,2,1
L000624,26,116952,3,649,13205,12,15.91,0.79,Rent,Auto,2,0
L000405,34,139895,26,665,12762,12,16.01,0.72,Own,Home,2,1
L000721,61,126157,19,505,6991,36,5.33,0.56,Own,Home,2,0
L000186,60,86016,34,328,6869,36,10.88,0.31,Rent,Education,0,1
L000577,47,97790,2,833,36499,12,12.01,0.17,Mortgage,Education,1,1
L000649,58,82793,12,303,23726,24,16.32,0.22,Rent,Auto,0,0
L000324,70,16373,39,667,16952,24,14.91,0.25,Mortgage,Business,2,1
L000746,64,142228,37,518,13599,12,5.77,0.25,Own,Auto,0,1
L000041,69,47256,35,418,18971,36,8.76,0.66,Mortgage,Auto,2,1
L000699,54,93754,33,593,30777,24,7.84,0.47,Own,Personal,0,0
L000267,30,49622,0,631,17469,36,15.92,0.14,Rent,Education,0,0
L000875,34,126685,8,465,47239,24,11.47,0.58,Own,Education,1,1
L000623,45,106367,4,523,29281,24,8.9,0.69,Mortgage,Business,1,1
L000101,34,149757,39,503,21688,24,6.5,0.19,Rent,Auto,0,1
L000564,26,103698,11,536,38777,36,7.54,0.62,Mortgage,Business,0,1
L000606,52,102017,12,592,21871,24,6.81,0.28,Own,Personal,0,0
L000229,21,100720,25,576,2618,36,3.71,0.19,Own,Home,0,1
L000720,57,65129,34,332,16833,60,17.76,0.29,Own,Auto,2,1
L000274,56,26060,22,559,13849,12,7.53,0.5,Own,Home,1,0
L000408,49,101179,36,389,47407,36,12.19,0.42,Rent,Education,0,1
L000215,44,67346,22,403,8073,12,14.3,0.11,Mortgage,Business,2,1
L000450,45,20609,33,688,22532,36,14.88,0.76,Mortgage,Education,0,1
L000428,59,130598,28,828,37339,36,16.55,0.22,Mortgage,Personal,0,0
L000979,69,59460,22,711,37178,24,12.71,0.56,Mortgage,Personal,0,1
L000711,23,121927,27,705,22132,36,6.54,0.72,Rent,Business,1,0
L000870,55,65373,4,331,38521,60,4.67,0.46,Mortgage,Personal,2,1
L000777,66,37560,22,434,35561,60,8.81,0.6,Own,Business,0,1
L000017,65,47392,29,836,7412,12,7.54,0.38,Rent,Auto,0,0
L000646,54,110519,22,631,28688,36,15.7,0.74,Rent,Home,1,1
L000209,60,134444,27,351,35842,24,5.98,0.75,Mortgage,Business,1,1
L000388,67,86054,10,478,15561,24,13.96,0.67,Own,Home,1,1
L000377,47,27871,10,329,46231,36,8.46,0.68,Own,Auto,1,0
L000703,42,116905,24,776,31218,24,11.27,0.42,Own,Business,1,0
L000345,34,147267,13,594,19264,12,12.45,0.78,Mortgage,Personal,0,1
L000614,50,95844,9,359,29414,24,13.72,0.21,Mortgage,Personal,0,1
L000231,51,89193,7,692,35879,36,16.78,0.67,Own,Personal,0,1
L000200,23,44632,32,763,32935,36,7.83,0.79,Own,Personal,0,1
L000556,35,138254,0,808,26175,24,6.33,0.59,Mortgage,Home,2,0
L000424,57,67041,37,456,33348,60,17.24,0.2,Mortgage,Personal,0,1
L000525,42,70193,34,411,34815,36,8.83,0.59,Rent,Personal,2,1
L000534,39,61827,34,404,18658,24,17.58,0.79,Mortgage,Education,0,1
L000464,62,125082,6,765,22960,24,6.45,0.16,Mortgage,Home,1,0
L000452,56,99937,36,529,4033,60,13.43,0.73,Rent,Auto,0,0
L000333,51,40010,16,379,12553,24,11.38,0.48,Rent,Business,1,1
L000447,39,129625,29,374,43820,12,6.28,0.18,Mortgage,Personal,1,0
L000985,48,115292,26,542,24076,24,11.92,0.22,Rent,Business,2,1
L000927,32,42236,38,380,46315,24,3.6,0.73,Rent,Home,0,1
L000621,33,145810,11,516,32513,24,4.59,0.22,Own,Business,1,0
L000108,53,105956,33,799,47408,60,7.76,0.53,Rent,Home,0,0
L000701,42,40186,0,809,34613,36,13.11,0.07,Rent,Auto,1,0
L000137,47,149767,32,372,30362,60,16.89,0.31,Rent,Business,0,1
L000098,69,143439,40,814,7525,36,17.32,0.44,Rent,Home,2,1
L000490,27,93137,10,490,23813,24,16.4,0.08,Rent,Auto,2,1
L000779,56,92069,29,718,20909,12,3.12,0.69,Mortgage,Business,0,1
L000502,23,24445,3,539,45829,24,4.23,0.52,Rent,Auto,0,1
L000887,63,76546,14,719,4075,60,6.76,0.19,Mortgage,Personal,0,0
L000298,63,114293,26,566,27511,12,17.16,0.37,Mortgage,Personal,1,0
L000736,49,148080,21,830,45193,12,11.61,0.43,Mortgage,Auto,1,0
L000211,36,144465,7,489,10112,12,15.93,0.68,Rent,Auto,2,1
L000511,60,75343,18,377,4078,12,16.03,0.66,Own,Auto,1,0
L000381,64,125526,14,538,19288,24,12.21,0.64,Rent,Personal,2,1
L000566,64,90415,16,615,49548,12,12.66,0.07,Mortgage,Auto,2,1
L000766,69,26875,6,304,11797,60,7.93,0.24,Rent,Business,1,1
L000325,50,115908,31,518,4837,60,9.81,0.68,Rent,Auto,0,1
L000943,24,146086,12,371,28596,24,10.31,0.32,Own,Home,2,1
L000414,41,124935,6,526,17537,60,5.59,0.38,Own,Personal,2,1
L000616,34,25310,16,480,32760,60,6.95,0.28,Own,Education,1,1
L000096,49,57779,1,488,34299,24,7.67,0.58,Rent,Auto,1,1
L000946,21,90965,31,827,41810,24,9.88,0.24,Rent,Auto,1,0
L000016,61,19685,6,447,19160,24,13.8,0.07,Own,Auto,2,0
L000220,53,107624,9,564,23916,36,12.5,0.18,Mortgage,Auto,1,1
L000708,41,74999,27,509,6871,24,13.62,0.09,Own,Personal,1,1
L000548,33,27448,17,351,30173,24,7.62,0.13,Mortgage,Business,1,1
L000970,62,92211,31,467,37447,60,7.25,0.67,Own,Home,2,1
L000135,41,39749,7,309,38317,24,6.63,0.66,Mortgage,Home,0,1
L000499,65,123117,8,484,40110,36,17.4,0.55,Own,Business,0,1
L000648,56,109607,33,816,6859,24,11.76,0.64,Mortgage,Personal,0,1
L000929,21,92473,16,526,37452,12,16.85,0.42,Mortgage,Business,1,0
L000933,57,125102,24,654,3541,24,7.03,0.79,Mortgage,Personal,0,0
L000583,53,28736,6,747,45370,36,9.01,0.66,Own,Business,0,1
L000516,60,45586,26,470,6597,60,16.32,0.47,Own,Education,2,1
L000292,66,76025,20,691,38424,24,11.89,0.74,Rent,Education,0,1
L000032,53,148772,20,626,24722,12,13.81,0.08,Mortgage,Business,0,0
L000668,49,77111,40,735,44675,60,14.68,0.51,Mortgage,Business,0,1
L000549,50,139038,4,533,9073,36,3.78,0.65,Mortgage,Auto,1,1
L000475,23,66540,26,805,31972,12,16.88,0.74,Mortgage,Home,0,1
L000527,65,135632,36,735,47036,36,9.58,0.22,Mortgage,Home,1,1
L000978,55,75234,27,462,29744,60,11.1,0.63,Rent,Education,0,1
L000346,24,66246,12,849,2571,36,9.86,0.16,Rent,Personal,1,0
L000031,40,127744,12,572,6934,60,16.83,0.68,Mortgage,Auto,1,1
L000376,40,66188,5,641,14389,60,15.43,0.78,Own,Home,0,0
L000987,51,121425,29,763,44529,12,12.21,0.07,Rent,Business,0,0
L000332,48,81448,7,785,2681,60,13.76,0.46,Rent,Personal,0,0
L000498,65,111746,36,407,46966,36,3.58,0.09,Own,Personal,1,1
L000903,54,23839,17,730,22191,12,11.18,0.59,Rent,Business,0,1
L000841,34,16660,5,578,29472,60,8.26,0.56,Own,Home,2,0
L000908,50,96448,21,762,49664,36,8.02,0.07,Own,Personal,2,1
L000705,60,92725,27,647,24748,12,11.28,0.77,Own,Education,0,1
L000300,53,73071,21,522,8339,36,4.53,0.11,Rent,Education,0,1
L000593,60,118796,28,544,28881,36,4.45,0.46,Own,Personal,2,1
L000103,40,129522,23,733,30051,36,12.15,0.6,Mortgage,Home,2,1
L000769,49,20827,30,361,13055,12,11.25,0.53,Rent,Personal,0,0
L000001,40,24096,19,733,37103,36,13.72,0.56,Own,Business,0,1
L000104,24,126727,35,409,24103,24,6.22,0.38,Rent,Home,2,1
L000080,28,89511,0,511,32551,12,9.07,0.5,Rent,Personal,0,1
L000006,33,107392,1,324,40173,24,9.98,0.6,Rent,Business,1,1
L000026,36,33865,14,427,8727,36,10.18,0.18,Rent,Business,1,1
L000235,69,139263,31,637,6622,12,9.01,0.52,Mortgage,Business,2,1
L000980,55,56414,9,849,39582,36,5.94,0.39,Own,Business,0,0
L000336,22,101423,22,492,24724,60,13.92,0.64,Mortgage,Education,0,1
L000958,34,125606,39,464,8715,12,15.05,0.32,Own,Business,0,1
L000501,59,110399,16,346,24820,12,10.11,0.55,Own,Business,2,1
L000441,62,58533,36,563,28074,24,13.38,0.45,Own,Home,1,1
L000693,55,144412,31,376,43549,36,17.9,0.31,Rent,Business,0,0
L000379,59,139151,36,489,2825,36,15.74,0.07,Rent,Business,1,1
L000573,23,82657,3,351,1596,36,4.12,0.44,Mortgage,Home,2,1
L000519,59,110728,22,640,1837,12,17.96,0.53,Mortgage,Auto,0,1
L000086,59,126292,18,745,43329,60,7.97,0.38,Rent,Personal,1,0
L000662,63,120546,37,310,20617,12,11.02,0.16,Rent,Education,0,0
L000221,58,75224,19,744,12193,24,14.67,0.14,Mortgage,Personal,0,0
L000246,25,28779,32,312,22207,60,15.8,0.26,Rent,Business,0,0
L000047,33,130393,13,516,36473,60,12.46,0.38,Own,Home,2,0
L000905,24,57606,24,430,13394,36,9.57,0.26,Rent,Business,1,0
L000758,41,80937,27,318,47496,60,7.64,0.68,Rent,Home,0,0
L000459,24,146609,25,525,10003,36,10.27,0.66,Rent,Home,0,1
L000287,53,23563,1,778,38327,12,14.0,0.07,Own,Education,0,0
L000825,27,55497,11,575,3200,24,9.6,0.41,Mortgage,Business,0,1
L000836,62,144166,0,497,45717,12,14.93,0.77,Own,Business,0,1
L000476,52,67801,27,775,26573,12,9.6,0.64,Own,Personal,0,1
L000454,21,25830,9,644,33652,12,14.51,0.06,Mortgage,Business,1,1
L000520,29,27552,8,505,3065,12,10.29,0.55,Own,Education,2,1
L000973,64,56919,30,701,1119,24,8.0,0.41,Rent,Home,0,0
L000805,65,43809,9,752,21935,12,5.28,0.13,Rent,Auto,0,0
L000941,54,51078,13,850,23671,36,11.4,0.13,Rent,Business,0,0
L000828,43,122502,11,684,32225,36,3.77,0.51,Own,Personal,0,1
L000143,52,70067,4,820,9758,60,17.12,0.66,Mortgage,Home,0,1
L000440,63,102040,23,829,16257,24,4.16,0.78,Own,Personal,2,1
L000723,44,18093,9,829,21829,36,4.69,0.36,Mortgage,Business,0,0
L000434,64,104410,37,380,35177,60,5.78,0.74,Rent,Auto,0,1
L000493,40,63435,3,699,1557,60,16.81,0.24,Own,Education,1,1
L000392,30,92910,20,371,49657,36,14.64,0.32,Mortgage,Auto,0,1
L000008,39,144602,23,587,28105,60,14.65,0.79,Rent,Auto,0,1
L000224,48,121628,33,355,43567,60,17.11,0.31,Mortgage,Personal,1,1
L000264,41,78088,18,424,26835,60,11.4,0.7,Mortgage,Education,2,1
L000303,34,98537,24,593,25568,12,4.22,0.09,Own,Auto,1,1
L000540,48,112299,11,364,8705,24,13.22,0.46,Own,Education,0,1
L000972,58,107381,17,680,29847,60,6.07,0.67,Rent,Personal,1,0
L000869,45,39400,32,468,41872,60,14.6,0.33,Mortgage,Auto,0,1
L000051,55,97775,40,404,16094,36,5.1,0.43,Mortgage,Auto,2,1
